Player,ValueOfHand,Ace,DealerValue,theCountRound,runningCount,trueCount,Action,BlackJackWin,Result,StartRunningCount
1.0,17,0,10,0,0,0.0,Stand,0,2,0.0
2.0,17,0,10,0,0,0.0,Stand,0,2,0.0
3.0,14,0,10,0,0,0.0,Hit,0,0,0.0
4.0,12,0,10,0,0,0.0,Hit,0,0,0.0
1.0,19,0,10,5,4,0.7272727272727273,Stand,0,2,-1.0
2.0,18,0,10,5,4,0.7298245614035087,Stand,0,2,-1.0
3.0,17,0,10,5,4,0.7298245614035087,Stand,0,2,-1.0
4.0,20,0,10,7,6,1.1024734982332156,Stand,0,2,-1.0
1.0,16,0,10,-5,2,0.38235294117647056,Hit,0,0,7.0
2.0,20,0,10,-5,2,0.38376383763837635,Stand,0,1,7.0
3.0,15,1,10,-5,2,0.3851851851851852,Stand,0,0,7.0
4.0,9,1,10,-5,2,0.3851851851851852,Stand,0,0,7.0
1.0,13,0,10,0,1,0.2,Hit,0,0,1.0
2.0,20,0,10,-1,0,0.0,Stand,0,1,1.0
3.0,18,0,10,0,1,0.20233463035019456,Stand,0,0,1.0
4.0,9,1,10,0,1,0.20233463035019456,Stand,0,0,1.0
1.0,17,0,2,2,2,0.4227642276422764,Stand,0,2,0.0
2.0,16,0,2,2,2,0.4227642276422764,Stand,0,2,0.0
3.0,13,0,2,3,3,0.636734693877551,Stand,0,2,0.0
4.0,20,0,2,3,3,0.636734693877551,Stand,0,2,0.0
1.0,11,0,10,5,6,1.3333333333333333,Double,0,1,1.0
2.0,12,0,10,6,7,1.5689655172413792,Hit,0,0,1.0
3.0,20,0,10,5,6,1.3565217391304347,Stand,0,1,1.0
4.0,17,0,10,4,5,1.1353711790393013,Stand,0,0,1.0
1.0,21,1,10,-1,3,0.7123287671232876,Stand,1,2,4.0
2.0,20,0,10,-1,3,0.7155963302752293,Stand,0,2,4.0
3.0,12,0,10,-1,3,0.7155963302752293,Hit,0,0,4.0
4.0,12,1,10,-2,2,0.48148148148148145,Stand,0,0,4.0
1.0,17,1,11,-2,-2,-0.34551495016611294,Stand,0,0,0.0
2.0,12,0,11,-2,-2,-0.34551495016611294,Hit,0,2,0.0
3.0,17,0,11,-2,-2,-0.3466666666666667,Stand,0,0,0.0
4.0,14,0,11,-2,-2,-0.3466666666666667,Hit,0,0,0.0
1.0,13,1,10,-5,-9,-1.6363636363636365,Stand,0,0,-4.0
2.0,20,0,10,-5,-9,-1.6363636363636365,Stand,0,2,-4.0
3.0,18,0,10,-5,-9,-1.6363636363636365,Stand,0,0,-4.0
4.0,18,0,10,-5,-9,-1.6363636363636365,Stand,0,0,-4.0
1.0,20,0,10,1,-8,-1.5127272727272727,Stand,0,2,-9.0
2.0,15,0,10,1,-8,-1.5127272727272727,Hit,0,2,-9.0
3.0,11,0,10,2,-7,-1.3284671532846715,Double,0,2,-9.0
4.0,16,0,10,2,-7,-1.3333333333333333,Hit,0,2,-9.0
1.0,14,0,10,-1,-7,-1.3893129770992367,Hit,0,2,-6.0
2.0,16,0,10,0,-6,-1.2,Hit,0,0,-6.0
3.0,16,0,10,-1,-7,-1.4108527131782946,Hit,0,0,-6.0
4.0,20,0,10,-1,-7,-1.4163424124513617,Stand,0,2,-6.0
1.0,11,0,10,3,-4,-0.8489795918367347,Double,0,1,-7.0
2.0,13,0,10,3,-4,-0.8524590163934426,Hit,0,2,-7.0
3.0,14,1,10,2,-5,-1.0743801652892562,Stand,0,0,-7.0
4.0,14,1,10,3,-4,-0.8702928870292888,Hit,0,0,-7.0
1.0,4,1,6,3,-1,-0.22907488986784144,Double,0,0,-4.0
2.0,18,0,6,2,-2,-0.4601769911504425,Stand,0,0,-4.0
3.0,15,0,6,2,-2,-0.46222222222222226,Stand,0,0,-4.0
4.0,9,0,6,2,-2,-0.46222222222222226,Double,0,0,-4.0
1.0,14,0,3,3,0,0.0,Stand,0,2,-3.0
2.0,14,0,3,3,0,0.0,Stand,0,2,-3.0
3.0,8,1,3,3,0,0.0,Stand,0,2,-3.0
4.0,18,0,3,2,-1,-0.24644549763033177,Stand,0,2,-3.0
4.1,18,0,3,1,-2,-0.49523809523809526,Stand,0,2,-3.0
1.0,15,1,10,0,-4,-1.0558375634517767,Hit,0,0,-4.0
2.0,20,0,10,-1,-5,-1.3265306122448979,Stand,0,1,-4.0
3.0,11,0,10,-1,-5,-1.3265306122448979,Double,0,0,-4.0
4.0,9,1,10,0,-4,-1.0666666666666667,Stand,0,0,-4.0
1.0,20,0,10,0,0,0.0,Stand,0,2,0.0
2.0,21,1,10,0,0,0.0,Stand,1,2,0.0
3.0,15,0,10,0,0,0.0,Hit,0,0,0.0
4.0,16,0,10,1,1,0.174496644295302,Hit,0,0,0.0
1.0,13,0,4,3,4,0.7272727272727273,Stand,0,0,1.0
2.0,15,0,4,3,4,0.7272727272727273,Stand,0,0,1.0
3.0,16,0,4,3,4,0.7272727272727273,Stand,0,0,1.0
4.0,19,0,4,3,4,0.7272727272727273,Stand,0,2,1.0
1.0,11,0,6,5,9,1.701818181818182,Double,0,2,4.0
2.0,16,0,6,6,10,1.8978102189781023,Stand,0,2,4.0
3.0,17,0,6,6,10,1.8978102189781023,Stand,0,2,4.0
4.0,10,0,6,7,11,2.0952380952380953,Double,0,2,4.0
1.0,10,0,2,5,14,2.789272030651341,Double,0,1,9.0
2.0,10,0,2,5,14,2.8,Double,0,0,9.0
3.0,14,0,2,6,15,3.0115830115830113,Double,0,0,9.0
4.0,17,0,2,7,16,3.2248062015503876,Stand,0,1,9.0
1.0,6,1,6,2,20,4.227642276422764,Double,0,2,18.0
2.0,14,0,6,1,19,4.032653061224489,Stand,0,2,18.0
3.0,12,0,6,1,19,4.032653061224489,Stand,0,2,18.0
4.0,4,1,6,1,19,4.032653061224489,Double,0,2,18.0
1.0,19,0,9,2,20,4.463519313304721,Stand,0,1,18.0
2.0,14,0,9,2,20,4.463519313304721,Hit,0,0,18.0
3.0,15,0,9,1,19,4.277056277056277,Hit,0,0,18.0
4.0,14,1,9,0,18,4.0873362445414845,Stand,0,0,18.0
1.0,17,0,2,-2,15,3.5616438356164384,Stand,0,1,17.0
2.0,12,0,2,-2,15,3.5616438356164384,Stand,0,0,17.0
3.0,20,0,2,-2,15,3.5616438356164384,Stand,0,2,17.0
4.0,14,0,2,-2,15,3.5779816513761467,Stand,0,0,17.0
4.1,19,0,2,-2,15,3.6111111111111107,Stand,0,2,17.0
1.0,20,0,10,0,18,4.588235294117648,Stand,0,1,18.0
2.0,18,0,10,-1,17,4.3546798029556655,Stand,0,0,18.0
3.0,15,0,10,-1,17,4.3546798029556655,Hit,0,0,18.0
4.0,11,0,10,-2,16,4.118811881188119,Double,0,0,18.0
1.0,17,0,6,1,15,4.0837696335078535,Stand,0,0,14.0
2.0,20,0,6,1,15,4.0837696335078535,Stand,0,2,14.0
3.0,15,0,6,1,15,4.0837696335078535,Stand,0,0,14.0
4.0,13,0,6,1,15,4.0837696335078535,Stand,0,0,14.0
1.0,16,0,10,-1,-1,-0.17275747508305647,Hit,0,0,0.0
2.0,18,0,10,0,0,0.0,Stand,0,2,0.0
3.0,20,0,10,3,3,0.527027027027027,Stand,0,2,0.0
4.0,20,0,10,3,3,0.527027027027027,Stand,0,2,0.0
1.0,10,1,8,1,5,0.9122807017543859,Stand,0,2,4.0
2.0,15,0,8,1,5,0.9122807017543859,Stand,0,0,4.0
3.0,19,0,8,0,4,0.7323943661971831,Stand,0,2,4.0
4.0,11,0,8,1,5,0.9187279151943463,Double,0,0,4.0
4.1,17,0,8,2,6,1.1103202846975089,Stand,0,0,4.0
1.0,20,1,10,-1,7,1.3632958801498127,Stand,0,1,8.0
2.0,21,1,10,-1,7,1.3632958801498127,Stand,1,2,8.0
3.0,19,0,10,-1,7,1.3632958801498127,Stand,0,0,8.0
4.0,20,0,10,0,8,1.5639097744360904,Stand,0,1,8.0
1.0,14,0,10,-5,2,0.40625,Hit,0,0,7.0
2.0,21,1,10,-6,1,0.20392156862745098,Stand,1,2,7.0
3.0,20,0,10,-6,1,0.20392156862745098,Stand,0,1,7.0
4.0,16,0,10,-5,2,0.40944881889763773,Hit,0,0,7.0
