Player,ValueOfHand,Ace,DealerValue,theCountRound,runningCount,trueCount,Action,BlackJackWin,Result,StartRunningCount
1.0,14,0,10,2,2,0.0007299526232672399,Hit,0,0,3.0
2.0,18,0,10,2,2,0.000729967993711045,Stand,0,2,3.0
3.0,4,1,10,2,2,0.000729967993711045,Hit,0,2,3.0
4.0,15,0,10,2,2,0.0007299731173361597,Hit,0,2,3.0
1.0,10,1,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
2.0,9,1,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
3.0,20,0,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
4.0,17,0,8,-5,-2,-0.000730034606448171,Stand,0,0,-3.0
1.0,16,0,2,3,0,0.0,Stand,0,2,0.0
2.0,13,0,2,3,0,0.0,Stand,0,2,0.0
3.0,14,0,2,3,0,0.0,Stand,0,2,0.0
4.0,16,0,2,3,0,0.0,Stand,0,2,0.0
1.0,16,0,10,1,1,0.00036507368169787344,Hit,0,0,-1.0
2.0,18,0,10,1,1,0.00036507880787727735,Stand,0,0,-1.0
3.0,11,0,10,1,1,0.00036507880787727735,Double,0,0,-1.0
4.0,16,0,10,1,1,0.00036508137102096407,Hit,0,0,-1.0
1.0,18,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
2.0,17,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
3.0,20,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
4.0,20,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
1.0,20,0,10,-2,-9,-0.003286239923601944,Stand,0,1,-10.0
2.0,20,0,10,-2,-9,-0.003286239923601944,Stand,0,1,-10.0
3.0,19,0,10,-2,-9,-0.003286286075416052,Stand,0,0,-10.0
4.0,11,0,10,-2,-9,-0.003286286075416052,Double,0,0,-10.0
1.0,6,1,8,-1,-11,-0.004016882141026272,Hit,0,2,-9.0
2.0,16,0,8,0,-10,-0.0036517366816949674,Hit,0,0,-9.0
3.0,19,0,8,2,-8,-0.0029214303772577884,Stand,0,2,-9.0
4.0,18,0,8,2,-8,-0.0029214303772577884,Stand,0,1,-9.0
1.0,16,0,3,1,-8,-0.002921635554057281,Stand,0,2,-9.0
2.0,16,0,3,1,-8,-0.002921635554057281,Stand,0,2,-9.0
3.0,8,1,3,2,-7,-0.0025564490641570388,Stand,0,2,-9.0
4.0,12,0,3,2,-7,-0.0025564490641570388,Stand,0,2,-9.0
1.0,13,0,7,1,-8,-0.002921881804262014,Stand,0,0,-8.0
2.0,15,0,7,1,-8,-0.002921881804262014,Stand,0,0,-8.0
3.0,16,0,7,1,-8,-0.002921881804262014,Stand,0,0,-8.0
4.0,10,0,7,1,-8,-0.002921881804262014,Double,0,0,-8.0
1.0,9,1,2,3,-5,-0.0018263300599879182,Stand,0,0,-6.0
2.0,12,0,2,3,-5,-0.0018263300599879182,Stand,0,0,-6.0
3.0,15,0,2,3,-5,-0.0018263300599879182,Stand,0,0,-6.0
4.0,15,0,2,3,-5,-0.0018263300599879182,Stand,0,0,-6.0
1.0,14,0,10,4,-2,-0.0007305987397171741,Hit,0,0,-6.0
2.0,21,1,10,3,-3,-0.001095905808300784,Stand,1,2,-6.0
3.0,17,0,10,2,-4,-0.0014612180095119672,Stand,0,2,-6.0
4.0,11,0,10,2,-4,-0.0014612180095119672,Double,0,2,-6.0
1.0,17,0,5,3,-3,-0.0010960136018098275,Stand,0,2,-5.0
2.0,13,0,5,3,-3,-0.0010960136018098275,Stand,0,2,-5.0
3.0,9,0,5,3,-3,-0.0010960136018098275,Double,0,2,-5.0
4.0,14,0,5,2,-4,-0.001461361736210155,Stand,0,2,-5.0
1.0,20,0,8,-3,-8,-0.002922949368333778,Stand,0,0,-10.0
2.0,14,0,8,-3,-8,-0.002922949368333778,Stand,0,0,-10.0
3.0,14,1,8,-4,-9,-0.003288341144314613,Hit,0,0,-10.0
4.0,19,0,8,-5,-10,-0.0036537380550871273,Stand,0,0,-10.0
1.0,15,0,8,5,-5,-0.0018270230767068612,Stand,0,0,-5.0
2.0,19,0,8,5,-5,-0.0018270230767068612,Stand,0,0,-5.0
3.0,18,0,8,4,-6,-0.00219244309837183,Stand,0,0,-5.0
4.0,10,0,8,4,-6,-0.00219244309837183,Double,0,0,-5.0
1.0,5,1,6,-2,-7,-0.002558065989669349,Double,0,2,-5.0
2.0,15,0,6,-1,-6,-0.002192643400283919,Stand,0,0,-5.0
3.0,21,1,6,-1,-6,-0.002192643400283919,Stand,1,2,-5.0
4.0,10,1,6,-1,-6,-0.002192643400283919,Stand,0,2,-5.0
1.0,19,0,7,-4,-9,-0.00328924249026581,Stand,0,0,-8.0
2.0,8,1,7,-4,-9,-0.00328924249026581,Stand,0,0,-8.0
3.0,20,0,7,-4,-9,-0.00328924249026581,Stand,0,1,-8.0
4.0,20,0,7,-4,-9,-0.00328924249026581,Stand,0,1,-8.0
1.0,21,1,11,-2,-10,-0.0036549964504361395,Stand,1,2,-12.0
2.0,18,0,11,-2,-10,-0.0036549964504361395,Stand,0,2,-12.0
3.0,19,1,11,-2,-10,-0.003655047831924031,Stand,0,2,-12.0
4.0,14,0,11,-2,-10,-0.0036550735232097164,Hit,0,2,-12.0
1.0,20,0,9,-3,-15,-0.005483188403759499,Stand,0,0,-15.0
2.0,20,0,9,-3,-15,-0.005483188403759499,Stand,0,0,-15.0
3.0,15,0,9,-3,-15,-0.005483188403759499,Stand,0,0,-15.0
4.0,19,0,9,-3,-15,-0.005483226949357478,Stand,0,0,-15.0
1.0,21,1,10,-4,-19,-0.006945957916493837,Stand,1,2,-19.0
2.0,11,0,10,-4,-19,-0.006945957916493837,Double,0,2,-19.0
3.0,18,0,10,-4,-19,-0.006946055582505501,Stand,0,1,-19.0
4.0,20,0,10,-4,-19,-0.006946055582505501,Stand,0,2,-19.0
1.0,18,0,4,2,-17,-0.00621532880073684,Stand,0,2,-18.0
2.0,12,0,4,2,-17,-0.00621532880073684,Stand,0,2,-18.0
3.0,10,0,4,2,-17,-0.00621532880073684,Double,0,2,-18.0
4.0,12,0,4,2,-17,-0.006215372500492167,Stand,0,2,-18.0
1.0,19,0,11,3,-15,-0.005484614951904145,Stand,0,0,-12.0
2.0,14,0,11,5,-13,-0.004753399805926281,Hit,0,1,-12.0
3.0,20,1,11,6,-12,-0.004387877083186836,Stand,0,0,-12.0
4.0,15,0,11,7,-11,-0.004022248943456462,Hit,0,0,-12.0
1.0,21,1,2,-2,-14,-0.0051196219356109095,Stand,1,2,-14.0
2.0,17,0,2,-2,-14,-0.0051196219356109095,Stand,0,1,-14.0
3.0,21,1,2,-2,-14,-0.0051196219356109095,Stand,1,2,-14.0
4.0,15,0,2,-2,-14,-0.0051196219356109095,Stand,0,0,-14.0
1.0,21,1,10,-4,-18,-0.006582972887435384,Stand,1,1,-15.0
2.0,20,0,10,-4,-18,-0.006582972887435384,Stand,0,0,-15.0
3.0,16,0,10,-4,-18,-0.006582972887435384,Hit,0,0,-15.0
4.0,18,0,10,-4,-18,-0.006583065486028569,Stand,0,0,-15.0
1.0,20,1,11,0,-15,-0.00548642812427463,Stand,0,2,-13.0
2.0,14,0,11,0,-15,-0.00548642812427463,Hit,0,2,-13.0
3.0,17,0,11,0,-15,-0.005486466715435259,Stand,0,0,-13.0
4.0,17,0,11,0,-15,-0.0054865053071387875,Stand,0,0,-13.0
1.0,13,0,8,-1,-14,-0.005121134528264723,Hit,0,2,-16.0
