Player,ValueOfHand,Ace,DealerValue,theCountRound,runningCount,trueCount,Action,BlackJackWin,Result,StartRunningCount
1.0,14,0,10,2,2,0.0007299526232672399,Hit,0,0,3.0
2.0,18,0,10,2,2,0.000729967993711045,Stand,0,2,3.0
3.0,4,1,10,2,2,0.000729967993711045,Hit,0,2,3.0
4.0,15,0,10,2,2,0.0007299731173361597,Hit,0,2,3.0
1.0,10,1,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
2.0,9,1,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
3.0,20,0,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
4.0,17,0,8,-5,-2,-0.000730034606448171,Stand,0,0,-3.0
1.0,16,0,2,3,0,0.0,Stand,0,2,0.0
2.0,13,0,2,3,0,0.0,Stand,0,2,0.0
3.0,14,0,2,3,0,0.0,Stand,0,2,0.0
4.0,16,0,2,3,0,0.0,Stand,0,2,0.0
1.0,16,0,10,1,1,0.00036507368169787344,Hit,0,0,-1.0
2.0,18,0,10,1,1,0.00036507880787727735,Stand,0,0,-1.0
3.0,11,0,10,1,1,0.00036507880787727735,Double,0,0,-1.0
4.0,16,0,10,1,1,0.00036508137102096407,Hit,0,0,-1.0
1.0,18,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
2.0,17,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
3.0,20,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
4.0,20,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
1.0,20,0,10,-2,-9,-0.003286239923601944,Stand,0,1,-10.0
2.0,20,0,10,-2,-9,-0.003286239923601944,Stand,0,1,-10.0
3.0,19,0,10,-2,-9,-0.003286286075416052,Stand,0,0,-10.0
4.0,11,0,10,-2,-9,-0.003286286075416052,Double,0,0,-10.0
1.0,6,1,8,-1,-11,-0.004016882141026272,Hit,0,2,-9.0
2.0,16,0,8,0,-10,-0.0036517366816949674,Hit,0,0,-9.0
3.0,19,0,8,2,-8,-0.0029214303772577884,Stand,0,2,-9.0
4.0,18,0,8,2,-8,-0.0029214303772577884,Stand,0,1,-9.0
1.0,16,0,3,1,-8,-0.002921635554057281,Stand,0,2,-9.0
2.0,16,0,3,1,-8,-0.002921635554057281,Stand,0,2,-9.0
3.0,8,1,3,2,-7,-0.0025564490641570388,Stand,0,2,-9.0
4.0,12,0,3,2,-7,-0.0025564490641570388,Stand,0,2,-9.0
1.0,15,0,7,2,-7,-0.0025566645361128864,Stand,0,0,-7.0
2.0,15,0,7,2,-7,-0.0025566645361128864,Stand,0,0,-7.0
3.0,16,0,7,2,-7,-0.0025566645361128864,Stand,0,0,-7.0
4.0,10,0,7,2,-7,-0.0025566645361128864,Double,0,0,-7.0
1.0,12,0,5,3,-4,-0.0014610640479903346,Stand,0,0,-5.0
2.0,15,0,5,3,-4,-0.0014610640479903346,Stand,0,0,-5.0
3.0,15,0,5,3,-4,-0.0014610640479903346,Stand,0,0,-5.0
4.0,10,0,5,3,-4,-0.0014610640479903346,Double,0,1,-5.0
1.0,21,1,2,2,-3,-0.001095890410958904,Stand,1,2,-4.0
2.0,19,0,2,2,-3,-0.001095905808300784,Stand,0,2,-4.0
3.0,11,0,2,2,-3,-0.001095905808300784,Double,0,2,-4.0
4.0,15,0,2,1,-4,-0.0014612180095119672,Stand,0,0,-4.0
1.0,21,1,5,-1,-5,-0.0018266636690647483,Stand,1,2,-4.0
2.0,15,0,5,-1,-5,-0.0018266636690647483,Stand,0,2,-4.0
3.0,17,0,5,-1,-5,-0.0018266636690647483,Stand,0,2,-4.0
4.0,13,0,5,-1,-5,-0.0018266636690647483,Stand,0,2,-4.0
1.0,19,0,11,-4,-8,-0.0029229082937522835,Stand,0,2,-7.0
2.0,17,0,11,-4,-8,-0.0029229082937522835,Stand,0,1,-7.0
3.0,20,0,11,-4,-8,-0.0029229082937522835,Stand,0,2,-7.0
4.0,14,0,11,-4,-8,-0.0029229082937522835,Hit,0,0,-7.0
1.0,18,0,9,2,-5,-0.0018269845619804514,Stand,0,0,-4.0
2.0,20,0,9,3,-4,-0.0014615979200337293,Stand,0,2,-4.0
3.0,18,0,9,3,-4,-0.0014615979200337293,Stand,0,0,-4.0
4.0,17,0,9,4,-3,-0.0010962138460241168,Stand,0,0,-4.0
1.0,20,0,5,-1,-5,-0.0018271514708569341,Stand,0,0,-6.0
2.0,7,1,5,-1,-5,-0.0018271514708569341,Double,0,0,-6.0
3.0,16,0,5,-2,-6,-0.0021925971735173616,Stand,0,0,-6.0
4.0,5,1,5,-2,-6,-0.0021925971735173616,Double,0,0,-6.0
1.0,15,0,10,0,-6,-0.0021927820922795797,Hit,0,0,-10.0
2.0,20,0,10,0,-6,-0.0021928129151058103,Stand,0,1,-10.0
3.0,19,0,10,-1,-7,-0.002558299714651186,Stand,0,0,-10.0
4.0,16,1,10,-2,-8,-0.0029238122012932247,Hit,0,0,-10.0
1.0,19,1,8,-2,-12,-0.0043861190578278865,Stand,0,2,-15.0
2.0,19,0,8,-2,-12,-0.004386180719080588,Stand,0,2,-15.0
3.0,10,1,8,-3,-13,-0.004751762580572602,Stand,0,2,-15.0
3.1,1,1,8,-3,-13,-0.004751762580572602,Hit,0,2,-15.0
3.2,1,1,8,-4,-14,-0.005117318749912134,Hit,0,2,-15.0
4.0,20,0,8,-5,-15,-0.005482880058484054,Stand,0,2,-15.0
1.0,12,0,5,0,-15,-0.005483304042179262,Stand,0,0,-14.0
2.0,11,0,5,0,-15,-0.005483304042179262,Double,0,0,-14.0
3.0,17,0,5,1,-14,-0.005117786416776216,Stand,0,0,-14.0
4.0,20,0,5,1,-14,-0.005117786416776216,Stand,0,1,-14.0
1.0,20,0,10,-5,-19,-0.00694610441654129,Stand,0,1,-21.0
2.0,18,0,10,-5,-19,-0.00694610441654129,Stand,0,0,-21.0
3.0,21,1,10,-5,-19,-0.00694610441654129,Stand,1,2,-21.0
4.0,20,0,10,-6,-20,-0.007311740264488144,Stand,0,1,-21.0
1.0,10,0,2,4,-17,-0.006215416200862003,Double,0,0,-14.0
2.0,17,0,2,6,-15,-0.005484267885392863,Stand,0,0,-14.0
3.0,13,0,2,6,-15,-0.005484267885392863,Stand,0,0,-14.0
4.0,15,0,2,6,-15,-0.005484267885392863,Stand,0,0,-14.0
1.0,21,1,8,0,-14,-0.005119081940469577,Stand,1,2,-13.0
2.0,17,0,8,1,-13,-0.004753466655415858,Stand,0,2,-13.0
3.0,16,0,8,0,-14,-0.005119153933240045,Hit,0,2,-13.0
4.0,14,1,8,2,-12,-0.004387938793879388,Hit,0,0,-13.0
1.0,21,1,8,-1,-14,-0.005119693943570846,Stand,1,2,-15.0
2.0,17,1,8,-3,-16,-0.005851161089778753,Stand,0,2,-15.0
3.0,12,0,8,-3,-16,-0.005851161089778753,Hit,0,0,-15.0
4.0,9,1,8,-3,-16,-0.005851243389220209,Stand,0,2,-15.0
1.0,20,0,3,0,-15,-0.005486003657335772,Stand,0,0,-16.0
2.0,14,0,3,0,-15,-0.005486003657335772,Stand,0,0,-16.0
3.0,13,0,3,0,-15,-0.005486003657335772,Stand,0,0,-16.0
4.0,14,0,3,0,-15,-0.005486003657335772,Stand,0,0,-16.0
1.0,17,0,7,1,-15,-0.00548642812427463,Stand,0,0,-14.0
2.0,16,0,7,1,-15,-0.005486466715435259,Stand,0,0,-14.0
3.0,17,1,7,2,-14,-0.005120774306092877,Stand,0,0,-14.0
