Player,ValueOfHand,Ace,DealerValue,theCountRound,runningCount,trueCount,Action,BlackJackWin,Result,StartRunningCount
1.0,14,0,10,2,2,0.0007299526232672399,Hit,0,0,3.0
2.0,18,0,10,2,2,0.000729967993711045,Stand,0,2,3.0
3.0,4,1,10,2,2,0.000729967993711045,Hit,0,2,3.0
4.0,15,0,10,2,2,0.0007299731173361597,Hit,0,2,3.0
1.0,10,1,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
2.0,9,1,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
3.0,20,0,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
4.0,17,0,8,-5,-2,-0.000730034606448171,Stand,0,0,-3.0
1.0,16,0,2,3,0,0.0,Stand,0,2,0.0
2.0,13,0,2,3,0,0.0,Stand,0,2,0.0
3.0,14,0,2,3,0,0.0,Stand,0,2,0.0
4.0,16,0,2,3,0,0.0,Stand,0,2,0.0
1.0,16,0,10,1,1,0.00036507368169787344,Hit,0,0,-1.0
2.0,18,0,10,1,1,0.00036507880787727735,Stand,0,0,-1.0
3.0,11,0,10,1,1,0.00036507880787727735,Double,0,0,-1.0
4.0,16,0,10,1,1,0.00036508137102096407,Hit,0,0,-1.0
1.0,18,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
2.0,17,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
3.0,20,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
4.0,20,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
1.0,20,0,10,-2,-9,-0.003286239923601944,Stand,0,1,-10.0
2.0,20,0,10,-2,-9,-0.003286239923601944,Stand,0,1,-10.0
3.0,19,0,10,-2,-9,-0.003286286075416052,Stand,0,0,-10.0
4.0,11,0,10,-2,-9,-0.003286286075416052,Double,0,0,-10.0
1.0,6,1,8,-1,-11,-0.004016882141026272,Hit,0,2,-11.0
2.0,16,0,8,0,-10,-0.0036517366816949674,Stand,0,0,-11.0
3.0,16,0,8,0,-10,-0.0036517366816949674,Stand,0,0,-11.0
4.0,18,0,8,0,-10,-0.0036517366816949674,Stand,0,1,-11.0
1.0,16,0,3,3,-8,-0.002921594516391831,Stand,0,0,-8.0
2.0,15,0,3,3,-8,-0.002921635554057281,Stand,0,0,-8.0
2.1,17,0,3,3,-8,-0.002921676592875604,Stand,0,1,-8.0
3.0,16,0,3,3,-8,-0.002921676592875604,Stand,0,0,-8.0
4.0,16,0,3,3,-8,-0.002921676592875604,Stand,0,0,-8.0
1.0,18,0,10,0,-8,-0.002921922849998595,Stand,0,2,-7.0
2.0,18,0,10,1,-7,-0.0025567004516369204,Stand,0,2,-7.0
3.0,19,0,10,1,-7,-0.002556718409777341,Stand,0,2,-7.0
4.0,17,0,10,1,-7,-0.002556718409777341,Stand,0,2,-7.0
1.0,10,0,5,2,-5,-0.0018263685471238207,Double,0,0,-5.0
2.0,6,1,5,3,-4,-0.0014611051012236756,Double,0,0,-5.0
3.0,20,0,5,3,-4,-0.0014611153648924886,Stand,0,2,-5.0
4.0,10,0,5,3,-4,-0.0014611153648924886,Double,0,2,-5.0
1.0,12,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
2.0,13,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
3.0,14,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
4.0,15,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
1.0,15,0,10,1,-4,-0.0014613412020936523,Hit,0,0,-6.0
2.0,17,0,10,0,-5,-0.0018266893363497127,Stand,0,2,-6.0
3.0,13,0,10,0,-5,-0.0018266893363497127,Hit,0,0,-6.0
4.0,18,0,10,-1,-6,-0.002192058005227215,Stand,0,2,-6.0
1.0,14,0,10,-1,-7,-0.0025575986678002542,Hit,0,0,-9.0
2.0,18,1,10,-2,-8,-0.0029230315209601036,Stand,0,0,-9.0
3.0,19,0,10,-2,-8,-0.0029230315209601036,Stand,0,0,-9.0
4.0,11,0,10,-2,-8,-0.0029230315209601036,Double,0,1,-9.0
1.0,14,0,10,6,-3,-0.0010962292524559752,Hit,0,0,-5.0
2.0,19,0,10,7,-2,-0.0007308349086105002,Stand,0,0,-5.0
3.0,20,0,10,6,-3,-0.0010962600666188811,Stand,0,1,-5.0
4.0,11,0,10,6,-3,-0.0010962600666188811,Double,0,0,-5.0
1.0,12,0,9,1,-4,-0.0014617930859998172,Hit,0,0,-6.0
2.0,16,1,9,-1,-6,-0.0021927204492265743,Stand,0,0,-6.0
3.0,17,0,9,-1,-6,-0.0021927204492265743,Stand,0,0,-6.0
4.0,17,1,9,0,-5,-0.0018272927252665388,Stand,0,0,-6.0
1.0,15,1,10,-4,-10,-0.0036548680030363523,Hit,0,0,-10.0
2.0,21,1,10,-5,-11,-0.0040203830609734665,Stand,1,2,-10.0
3.0,20,0,10,-5,-11,-0.0040203830609734665,Stand,0,2,-10.0
4.0,18,0,10,-5,-11,-0.004020411319004175,Stand,0,1,-10.0
1.0,13,1,7,-3,-13,-0.004751829384019513,Stand,0,0,-15.0
2.0,20,0,7,-3,-13,-0.004751829384019513,Stand,0,2,-15.0
3.0,15,1,7,-4,-14,-0.005117390693097146,Stand,0,0,-15.0
4.0,16,0,7,-4,-14,-0.005117390693097146,Stand,0,0,-15.0
1.0,12,0,5,0,-15,-0.005483304042179262,Stand,0,0,-14.0
2.0,11,0,5,0,-15,-0.005483304042179262,Double,0,0,-14.0
3.0,17,0,5,1,-14,-0.005117786416776216,Stand,0,0,-14.0
4.0,20,0,5,1,-14,-0.005117786416776216,Stand,0,1,-14.0
1.0,20,0,10,-5,-19,-0.00694610441654129,Stand,0,1,-21.0
2.0,18,0,10,-5,-19,-0.00694610441654129,Stand,0,0,-21.0
3.0,21,1,10,-5,-19,-0.00694610441654129,Stand,1,2,-21.0
4.0,20,0,10,-6,-20,-0.007311740264488144,Stand,0,1,-21.0
1.0,10,0,2,4,-17,-0.006215416200862003,Double,0,0,-16.0
2.0,12,0,2,5,-16,-0.005849844613502454,Stand,0,0,-16.0
3.0,13,0,2,5,-16,-0.005849844613502454,Stand,0,0,-16.0
4.0,15,0,2,5,-16,-0.005849844613502454,Stand,0,0,-16.0
1.0,13,1,2,1,-15,-0.0054847306505031185,Stand,0,0,-14.0
2.0,13,0,2,1,-15,-0.0054847306505031185,Stand,0,0,-14.0
3.0,21,1,2,1,-15,-0.0054847306505031185,Stand,1,2,-14.0
4.0,15,0,2,1,-15,-0.0054847306505031185,Stand,0,0,-14.0
1.0,16,1,9,0,-14,-0.005119549929676511,Stand,0,0,-15.0
2.0,17,0,9,0,-14,-0.005119585932390524,Stand,0,1,-15.0
3.0,10,0,9,0,-14,-0.005119585932390524,Double,0,2,-15.0
4.0,21,1,9,-1,-15,-0.005485309216725974,Stand,1,2,-15.0
1.0,18,0,10,-2,-17,-0.006217164719700113,Stand,0,0,-17.0
2.0,19,0,10,-1,-16,-0.005851531455498119,Stand,0,0,-17.0
3.0,21,1,10,-1,-16,-0.005851531455498119,Stand,1,2,-17.0
4.0,21,1,10,-1,-16,-0.005851531455498119,Stand,1,2,-17.0
1.0,17,0,11,1,-16,-0.005851943027958502,Stand,0,0,-14.0
2.0,18,0,11,1,-16,-0.005851984188388875,Stand,0,0,-14.0
3.0,16,0,11,0,-17,-0.00621777693373566,Hit,0,0,-14.0
4.0,10,1,11,2,-15,-0.005486350943582024,Stand,0,1,-14.0
