Player,ValueOfHand,Ace,DealerValue,theCountRound,runningCount,trueCount,Action,BlackJackWin,Result,StartRunningCount
1.0,14,0,10,2,2,0.0007299526232672399,Hit,0,0,3.0
2.0,18,0,10,2,2,0.000729967993711045,Stand,0,2,3.0
3.0,4,1,10,2,2,0.000729967993711045,Hit,0,2,3.0
4.0,15,0,10,2,2,0.0007299731173361597,Hit,0,2,3.0
1.0,10,1,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
2.0,9,1,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
3.0,20,0,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
4.0,17,0,8,-5,-2,-0.000730034606448171,Stand,0,0,-3.0
1.0,16,0,2,3,0,0.0,Stand,0,2,0.0
2.0,13,0,2,3,0,0.0,Stand,0,2,0.0
3.0,14,0,2,3,0,0.0,Stand,0,2,0.0
4.0,16,0,2,3,0,0.0,Stand,0,2,0.0
1.0,16,0,10,1,1,0.00036507368169787344,Hit,0,0,-1.0
2.0,18,0,10,1,1,0.00036507880787727735,Stand,0,0,-1.0
3.0,11,0,10,1,1,0.00036507880787727735,Double,0,0,-1.0
4.0,16,0,10,1,1,0.00036508137102096407,Hit,0,0,-1.0
1.0,18,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
2.0,17,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
3.0,20,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
4.0,20,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
1.0,20,0,10,-2,-9,-0.003286239923601944,Stand,0,1,-10.0
2.0,20,0,10,-2,-9,-0.003286239923601944,Stand,0,1,-10.0
3.0,19,0,10,-2,-9,-0.003286286075416052,Stand,0,0,-10.0
4.0,11,0,10,-2,-9,-0.003286286075416052,Double,0,0,-10.0
1.0,6,1,8,-1,-11,-0.004016882141026272,Hit,0,2,-11.0
2.0,16,0,8,0,-10,-0.0036517366816949674,Stand,0,0,-11.0
3.0,16,0,8,0,-10,-0.0036517366816949674,Stand,0,0,-11.0
4.0,18,0,8,0,-10,-0.0036517366816949674,Stand,0,1,-11.0
1.0,16,0,3,3,-8,-0.002921594516391831,Stand,0,0,-8.0
2.0,15,0,3,3,-8,-0.002921635554057281,Stand,0,0,-8.0
2.1,17,0,3,3,-8,-0.002921676592875604,Stand,0,1,-8.0
3.0,16,0,3,3,-8,-0.002921676592875604,Stand,0,0,-8.0
4.0,16,0,3,3,-8,-0.002921676592875604,Stand,0,0,-8.0
1.0,18,0,10,0,-8,-0.002921922849998595,Stand,0,2,-7.0
2.0,18,0,10,1,-7,-0.0025567004516369204,Stand,0,2,-7.0
3.0,19,0,10,1,-7,-0.002556718409777341,Stand,0,2,-7.0
4.0,17,0,10,1,-7,-0.002556718409777341,Stand,0,2,-7.0
1.0,10,0,5,2,-5,-0.0018263685471238207,Double,0,0,-5.0
2.0,6,1,5,3,-4,-0.0014611051012236756,Double,0,0,-5.0
3.0,20,0,5,3,-4,-0.0014611153648924886,Stand,0,2,-5.0
4.0,10,0,5,3,-4,-0.0014611153648924886,Double,0,2,-5.0
1.0,12,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
2.0,13,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
3.0,14,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
4.0,15,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
1.0,15,0,10,1,-4,-0.0014613412020936523,Hit,0,0,-6.0
2.0,17,0,10,0,-5,-0.0018266893363497127,Stand,0,2,-6.0
3.0,13,0,10,0,-5,-0.0018266893363497127,Hit,0,0,-6.0
4.0,18,0,10,-1,-6,-0.002192058005227215,Stand,0,2,-6.0
1.0,14,0,10,-1,-7,-0.0025575986678002542,Hit,0,0,-9.0
2.0,18,1,10,-2,-8,-0.0029230315209601036,Stand,0,0,-9.0
3.0,19,0,10,-2,-8,-0.0029230315209601036,Stand,0,0,-9.0
4.0,11,0,10,-2,-8,-0.0029230315209601036,Double,0,1,-9.0
1.0,14,0,10,6,-3,-0.0010962292524559752,Hit,0,0,-5.0
2.0,19,0,10,7,-2,-0.0007308349086105002,Stand,0,0,-5.0
3.0,20,0,10,6,-3,-0.0010962600666188811,Stand,0,1,-5.0
4.0,11,0,10,6,-3,-0.0010962600666188811,Double,0,0,-5.0
1.0,12,0,9,1,-4,-0.0014617930859998172,Hit,0,0,-6.0
2.0,16,1,9,-1,-6,-0.0021927204492265743,Hit,0,0,-6.0
3.0,17,0,9,-1,-6,-0.0021927358596649047,Stand,0,0,-6.0
4.0,10,1,9,0,-5,-0.0018272927252665388,Stand,0,1,-6.0
1.0,15,1,10,-4,-10,-0.0036548680030363523,Hit,0,0,-10.0
2.0,21,1,10,-5,-11,-0.0040203830609734665,Stand,1,2,-10.0
3.0,20,0,10,-5,-11,-0.0040203830609734665,Stand,0,2,-10.0
4.0,18,0,10,-5,-11,-0.004020411319004175,Stand,0,1,-10.0
1.0,13,1,7,-3,-13,-0.004751829384019513,Hit,0,0,-15.0
2.0,20,0,7,-4,-14,-0.005117390693097146,Stand,0,2,-15.0
3.0,14,1,7,-4,-14,-0.005117426665448232,Stand,0,0,-15.0
4.0,16,0,7,-4,-14,-0.005117426665448232,Hit,0,0,-15.0
1.0,17,0,2,0,-15,-0.005483381137168888,Stand,0,1,-16.0
2.0,20,0,2,0,-15,-0.005483381137168888,Stand,0,2,-16.0
3.0,15,0,2,0,-15,-0.005483381137168888,Stand,0,0,-16.0
4.0,17,0,2,-1,-16,-0.005848980997841782,Stand,0,1,-16.0
1.0,21,1,8,-5,-21,-0.007677381253691049,Stand,1,2,-20.0
2.0,10,0,8,-5,-21,-0.007677381253691049,Double,0,2,-20.0
3.0,20,0,8,-6,-22,-0.008043027384258446,Stand,0,2,-20.0
4.0,20,0,8,-6,-22,-0.008043027384258446,Stand,0,2,-20.0
1.0,20,0,9,5,-15,-0.00548434500748824,Stand,0,2,-16.0
2.0,13,1,9,4,-16,-0.005850009140639282,Hit,0,2,-16.0
3.0,10,0,9,5,-15,-0.005484460694698354,Double,0,2,-16.0
4.0,15,0,9,4,-16,-0.0058501736770310364,Hit,0,0,-16.0
1.0,19,0,10,2,-14,-0.005119369923701698,Stand,0,1,-14.0
2.0,11,0,10,3,-13,-0.004753734072177998,Double,0,0,-14.0
3.0,16,1,10,3,-13,-0.004753800931069887,Hit,0,0,-14.0
4.0,13,1,10,2,-14,-0.005119549929676511,Hit,0,0,-14.0
1.0,20,0,11,-1,-15,-0.005485656415053204,Stand,0,0,-18.0
2.0,18,0,11,-2,-16,-0.005851407995048809,Stand,0,0,-18.0
3.0,17,0,11,-3,-17,-0.006217164719700113,Stand,0,0,-18.0
4.0,21,1,11,-3,-17,-0.006217164719700113,Stand,1,1,-18.0
1.0,14,0,3,2,-16,-0.005851860708834762,Stand,0,2,-15.0
2.0,10,1,3,2,-16,-0.005851943027958502,Stand,0,2,-15.0
3.0,17,0,3,2,-16,-0.005851943027958502,Stand,0,2,-15.0
4.0,11,0,3,2,-16,-0.005851943027958502,Double,0,2,-15.0
1.0,16,0,8,1,-14,-0.005120954410844042,Stand,0,0,-15.0
2.0,20,0,8,1,-14,-0.005120954410844042,Stand,0,2,-15.0
3.0,11,0,8,2,-13,-0.004755205402363534,Double,0,2,-15.0
4.0,17,0,8,1,-14,-0.005121026456291899,Stand,0,0,-15.0
