Player,ValueOfHand,Ace,DealerValue,theCountRound,runningCount,trueCount,Action,BlackJackWin,Result,StartRunningCount
1.0,14,0,10,2,2,0.0007299526232672399,Hit,0,0,3.0
2.0,18,0,10,2,2,0.000729967993711045,Stand,0,2,3.0
3.0,4,1,10,2,2,0.000729967993711045,Hit,0,2,3.0
4.0,15,0,10,2,2,0.0007299731173361597,Hit,0,2,3.0
1.0,10,1,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
2.0,9,1,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
3.0,20,0,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
4.0,17,0,8,-5,-2,-0.000730034606448171,Stand,0,0,-3.0
1.0,16,0,2,3,0,0.0,Stand,0,2,0.0
2.0,13,0,2,3,0,0.0,Stand,0,2,0.0
3.0,14,0,2,3,0,0.0,Stand,0,2,0.0
4.0,16,0,2,3,0,0.0,Stand,0,2,0.0
1.0,16,0,10,1,1,0.00036507368169787344,Hit,0,0,-1.0
2.0,18,0,10,1,1,0.00036507880787727735,Stand,0,0,-1.0
3.0,11,0,10,1,1,0.00036507880787727735,Double,0,0,-1.0
4.0,16,0,10,1,1,0.00036508137102096407,Hit,0,0,-1.0
1.0,18,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
2.0,17,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
3.0,20,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
4.0,20,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
1.0,20,0,10,-2,-9,-0.003286239923601944,Stand,0,1,-10.0
2.0,20,0,10,-2,-9,-0.003286239923601944,Stand,0,1,-10.0
3.0,19,0,10,-2,-9,-0.003286286075416052,Stand,0,0,-10.0
4.0,11,0,10,-2,-9,-0.003286286075416052,Double,0,0,-10.0
1.0,6,1,8,-1,-11,-0.004016882141026272,Hit,0,2,-11.0
2.0,16,0,8,0,-10,-0.0036517366816949674,Stand,0,0,-11.0
3.0,16,0,8,0,-10,-0.0036517366816949674,Stand,0,0,-11.0
4.0,18,0,8,0,-10,-0.0036517366816949674,Stand,0,1,-11.0
1.0,16,0,3,3,-8,-0.002921594516391831,Double,0,0,-9.0
2.0,13,0,3,3,-8,-0.002921635554057281,Stand,0,0,-9.0
2.1,17,0,3,3,-8,-0.002921676592875604,Stand,0,0,-9.0
3.0,16,0,3,3,-8,-0.002921676592875604,Double,0,0,-9.0
4.0,16,0,3,4,-7,-0.00255648497362747,Double,0,0,-9.0
1.0,10,0,9,2,-7,-0.0025567004516369204,Double,0,0,-6.0
2.0,17,0,9,2,-7,-0.002556718409777341,Stand,0,0,-6.0
3.0,12,0,9,2,-7,-0.002556718409777341,Hit,0,0,-6.0
4.0,10,0,9,2,-7,-0.0025567543268150148,Double,0,0,-6.0
1.0,12,0,10,2,-4,-0.0014611358926627095,Hit,0,0,-2.0
2.0,9,1,10,2,-4,-0.0014611564210097433,Stand,0,0,-2.0
3.0,16,0,10,3,-3,-0.0010958750140496797,Hit,0,2,-2.0
4.0,16,1,10,6,0,0.0,Hit,0,0,-2.0
1.0,20,0,9,-4,-6,-0.0021919656030013066,Stand,0,2,-4.0
2.0,18,0,9,-3,-5,-0.0018266508356927574,Stand,0,2,-4.0
3.0,21,1,9,-3,-5,-0.0018266508356927574,Stand,1,2,-4.0
4.0,19,0,9,-2,-4,-0.0014613309352517986,Stand,0,2,-4.0
1.0,18,0,10,-3,-7,-0.0025575267872826276,Stand,0,0,-8.0
2.0,21,1,10,-3,-7,-0.0025575267872826276,Stand,1,2,-8.0
3.0,19,0,10,-3,-7,-0.0025575267872826276,Stand,0,0,-8.0
4.0,17,0,10,-3,-7,-0.0025575267872826276,Stand,0,0,-8.0
1.0,13,0,10,0,-8,-0.002923093138460458,Hit,0,2,-5.0
2.0,17,0,10,1,-7,-0.0025577424409576077,Stand,0,0,-5.0
3.0,12,0,10,1,-7,-0.0025577424409576077,Hit,0,0,-5.0
4.0,18,0,10,1,-7,-0.002557778386772632,Stand,0,0,-5.0
1.0,17,1,10,-2,-7,-0.0025580120591997078,Stand,0,2,-5.0
2.0,14,1,10,-3,-8,-0.002923462898023149,Hit,0,0,-5.0
3.0,20,0,10,-3,-8,-0.0029234834429639625,Stand,0,2,-5.0
4.0,18,1,10,-1,-6,-0.002192643400283919,Stand,0,2,-5.0
1.0,19,0,7,-4,-9,-0.00328924249026581,Stand,0,0,-8.0
2.0,8,1,7,-4,-9,-0.00328924249026581,Stand,0,0,-8.0
3.0,20,0,7,-4,-9,-0.00328924249026581,Stand,0,1,-8.0
4.0,20,0,7,-4,-9,-0.00328924249026581,Stand,0,1,-8.0
1.0,21,1,11,-2,-10,-0.0036549964504361395,Stand,1,2,-12.0
2.0,18,0,11,-2,-10,-0.0036549964504361395,Stand,0,2,-12.0
3.0,19,1,11,-2,-10,-0.003655047831924031,Stand,0,2,-12.0
4.0,14,0,11,-2,-10,-0.0036550735232097164,Hit,0,2,-12.0
1.0,20,0,9,-3,-15,-0.005483188403759499,Stand,0,0,-16.0
2.0,20,0,9,-3,-15,-0.005483188403759499,Stand,0,0,-16.0
3.0,15,0,9,-3,-15,-0.005483188403759499,Hit,0,0,-16.0
4.0,12,0,9,-3,-15,-0.005483226949357478,Hit,0,0,-16.0
1.0,14,0,11,-2,-18,-0.006580473709742053,Hit,0,0,-21.0
2.0,15,0,11,-3,-19,-0.00694610441654129,Hit,0,0,-21.0
3.0,20,0,11,-4,-20,-0.007311740264488144,Stand,0,0,-21.0
4.0,18,0,11,-4,-20,-0.007311740264488144,Stand,0,0,-21.0
1.0,10,0,2,4,-17,-0.006215416200862003,Double,0,0,-14.0
2.0,12,0,2,5,-16,-0.005849844613502454,Stand,0,0,-14.0
3.0,13,0,2,5,-16,-0.005849844613502454,Stand,0,0,-14.0
4.0,15,0,2,5,-16,-0.005849844613502454,Double,0,2,-14.0
1.0,21,1,8,0,-14,-0.005119081940469577,Stand,1,2,-12.0
2.0,17,0,8,1,-13,-0.004753466655415858,Stand,0,1,-12.0
3.0,16,0,8,0,-14,-0.005119153933240045,Stand,0,0,-12.0
4.0,9,1,8,1,-13,-0.004753533506785739,Stand,0,2,-12.0
1.0,10,0,6,-2,-14,-0.005119585932390524,Double,0,2,-14.0
2.0,21,1,6,-3,-15,-0.005485309216725974,Stand,1,2,-14.0
3.0,17,0,6,-3,-15,-0.005485309216725974,Stand,0,1,-14.0
4.0,21,1,6,-3,-15,-0.005485309216725974,Stand,1,2,-14.0
1.0,16,0,6,-3,-17,-0.0062172084452759065,Stand,0,0,-17.0
2.0,21,1,6,-3,-17,-0.0062172084452759065,Stand,1,2,-17.0
3.0,21,1,6,-3,-17,-0.0062172084452759065,Stand,1,2,-17.0
4.0,20,0,6,-3,-17,-0.0062172084452759065,Stand,0,2,-17.0
1.0,17,0,11,1,-16,-0.005851943027958502,Stand,0,0,-14.0
2.0,18,0,11,1,-16,-0.005851984188388875,Stand,0,0,-14.0
3.0,16,0,11,0,-17,-0.00621777693373566,Hit,0,0,-14.0
4.0,10,1,11,2,-15,-0.005486350943582024,Stand,0,1,-14.0
1.0,17,0,4,0,-14,-0.005121026456291899,Stand,0,2,-15.0
2.0,18,0,4,0,-14,-0.005121026456291899,Stand,0,2,-15.0
3.0,12,0,4,0,-14,-0.005121026456291899,Stand,0,2,-15.0
4.0,13,0,4,0,-14,-0.005121026456291899,Stand,0,2,-15.0
