Player,ValueOfHand,Ace,DealerValue,theCountRound,runningCount,trueCount,Action,BlackJackWin,Result,StartRunningCount
1.0,14,0,10,2,2,0.0007299526232672399,Hit,0,0,3.0
2.0,18,0,10,2,2,0.000729967993711045,Stand,0,2,3.0
3.0,4,1,10,2,2,0.000729967993711045,Hit,0,2,3.0
4.0,15,0,10,2,2,0.0007299731173361597,Hit,0,2,3.0
1.0,10,1,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
2.0,9,1,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
3.0,20,0,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
4.0,17,0,8,-5,-2,-0.000730034606448171,Stand,0,0,-3.0
1.0,16,0,2,3,0,0.0,Stand,0,2,0.0
2.0,13,0,2,3,0,0.0,Stand,0,2,0.0
3.0,14,0,2,3,0,0.0,Stand,0,2,0.0
4.0,16,0,2,3,0,0.0,Stand,0,2,0.0
1.0,16,0,10,1,1,0.00036507368169787344,Hit,0,0,-1.0
2.0,18,0,10,1,1,0.00036507880787727735,Stand,0,0,-1.0
3.0,11,0,10,1,1,0.00036507880787727735,Double,0,0,-1.0
4.0,16,0,10,1,1,0.00036508137102096407,Hit,0,0,-1.0
1.0,18,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
2.0,17,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
3.0,20,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
4.0,20,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
1.0,20,0,10,-2,-9,-0.003286239923601944,Stand,0,1,-10.0
2.0,20,0,10,-2,-9,-0.003286239923601944,Stand,0,1,-10.0
3.0,19,0,10,-2,-9,-0.003286286075416052,Stand,0,0,-10.0
4.0,11,0,10,-2,-9,-0.003286286075416052,Double,0,0,-10.0
1.0,6,1,8,-1,-11,-0.004016882141026272,Hit,0,2,-11.0
2.0,16,0,8,0,-10,-0.0036517366816949674,Stand,0,0,-11.0
3.0,16,0,8,0,-10,-0.0036517366816949674,Stand,0,0,-11.0
4.0,18,0,8,0,-10,-0.0036517366816949674,Stand,0,1,-11.0
1.0,16,0,3,3,-8,-0.002921594516391831,Stand,0,0,-8.0
2.0,15,0,3,3,-8,-0.002921635554057281,Stand,0,0,-8.0
2.1,17,0,3,3,-8,-0.002921676592875604,Stand,0,1,-8.0
3.0,16,0,3,3,-8,-0.002921676592875604,Stand,0,0,-8.0
4.0,16,0,3,3,-8,-0.002921676592875604,Stand,0,0,-8.0
1.0,18,0,10,0,-8,-0.002921922849998595,Stand,0,2,-7.0
2.0,18,0,10,1,-7,-0.0025567004516369204,Stand,0,2,-7.0
3.0,19,0,10,1,-7,-0.002556718409777341,Stand,0,2,-7.0
4.0,17,0,10,1,-7,-0.002556718409777341,Stand,0,2,-7.0
1.0,10,0,5,2,-5,-0.0018263685471238207,Double,0,0,-5.0
2.0,6,1,5,3,-4,-0.0014611051012236756,Double,0,0,-5.0
3.0,20,0,5,3,-4,-0.0014611153648924886,Stand,0,2,-5.0
4.0,10,0,5,3,-4,-0.0014611153648924886,Double,0,2,-5.0
1.0,12,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
2.0,13,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
3.0,14,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
4.0,15,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
1.0,15,0,10,1,-4,-0.0014613412020936523,Hit,0,0,-6.0
2.0,17,0,10,0,-5,-0.0018266893363497127,Stand,0,2,-6.0
3.0,13,0,10,0,-5,-0.0018266893363497127,Hit,0,0,-6.0
4.0,18,0,10,-1,-6,-0.002192058005227215,Stand,0,2,-6.0
1.0,14,0,10,-1,-7,-0.0025575986678002542,Hit,0,0,-9.0
2.0,18,1,10,-2,-8,-0.0029230315209601036,Stand,0,0,-9.0
3.0,19,0,10,-2,-8,-0.0029230315209601036,Stand,0,0,-9.0
4.0,11,0,10,-2,-8,-0.0029230315209601036,Double,0,1,-9.0
1.0,14,0,10,6,-3,-0.0010962292524559752,Hit,0,0,-5.0
2.0,19,0,10,7,-2,-0.0007308349086105002,Stand,0,0,-5.0
3.0,20,0,10,6,-3,-0.0010962600666188811,Stand,0,1,-5.0
4.0,11,0,10,6,-3,-0.0010962600666188811,Double,0,0,-5.0
1.0,12,0,9,1,-4,-0.0014617930859998172,Hit,0,0,-6.0
2.0,16,1,9,-1,-6,-0.0021927204492265743,Stand,0,0,-6.0
3.0,17,0,9,-1,-6,-0.0021927204492265743,Stand,0,0,-6.0
4.0,17,1,9,0,-5,-0.0018272927252665388,Stand,0,0,-6.0
1.0,15,1,10,-4,-10,-0.0036548680030363523,Stand,0,0,-10.0
2.0,21,1,10,-4,-10,-0.0036548680030363523,Stand,1,2,-10.0
3.0,20,0,10,-4,-10,-0.0036548680030363523,Stand,0,1,-10.0
4.0,20,0,10,-5,-11,-0.0040203830609734665,Stand,0,1,-10.0
1.0,8,1,4,-1,-11,-0.004020693921160659,Stand,0,2,-14.0
2.0,12,0,4,-1,-11,-0.004020693921160659,Stand,0,2,-14.0
3.0,12,1,4,-1,-11,-0.0040207221835614326,Stand,0,2,-14.0
4.0,20,0,4,-1,-11,-0.0040207221835614326,Stand,0,2,-14.0
1.0,15,0,10,0,-14,-0.005117714462464236,Hit,0,0,-15.0
2.0,16,0,10,0,-14,-0.005117786416776216,Hit,0,2,-15.0
3.0,11,0,10,1,-13,-0.004752263652213037,Double,0,2,-15.0
4.0,17,0,10,0,-14,-0.005117858373111559,Stand,0,0,-15.0
1.0,18,0,10,-5,-20,-0.007311740264488144,Stand,0,0,-21.0
2.0,21,1,10,-5,-20,-0.007311740264488144,Stand,1,2,-21.0
3.0,16,0,10,-4,-19,-0.006946202086672853,Hit,0,0,-21.0
4.0,20,0,10,-5,-20,-0.007311843076598587,Stand,0,1,-21.0
1.0,13,0,2,4,-17,-0.006215503603445245,Stand,0,0,-15.0
2.0,15,0,2,4,-17,-0.006215503603445245,Stand,0,0,-15.0
3.0,14,0,2,5,-16,-0.0058499268759140514,Stand,0,0,-15.0
4.0,13,0,2,6,-15,-0.00548434500748824,Stand,0,0,-15.0
1.0,15,0,10,1,-14,-0.005119117936601693,Hit,0,0,-14.0
2.0,11,0,10,1,-14,-0.005119189930384642,Double,0,2,-14.0
3.0,12,1,10,2,-13,-0.004753600360036003,Hit,0,0,-14.0
4.0,15,0,10,1,-14,-0.00511929792485602,Hit,0,0,-14.0
1.0,16,1,11,0,-14,-0.005119765953556409,Hit,0,0,-18.0
2.0,18,0,11,0,-14,-0.005119837965567683,Stand,0,2,-18.0
3.0,18,1,11,0,-14,-0.005119909979604754,Stand,0,2,-18.0
4.0,20,0,11,-1,-15,-0.005485656415053204,Stand,0,2,-18.0
1.0,14,0,3,2,-16,-0.005851860708834762,Stand,0,2,-15.0
2.0,10,1,3,2,-16,-0.005851943027958502,Stand,0,2,-15.0
3.0,17,0,3,2,-16,-0.005851943027958502,Stand,0,2,-15.0
4.0,11,0,3,2,-16,-0.005851943027958502,Double,0,2,-15.0
1.0,19,0,8,2,-13,-0.004755205402363534,Stand,0,2,-15.0
2.0,20,0,8,2,-13,-0.004755205402363534,Stand,0,2,-15.0
3.0,18,0,8,1,-14,-0.005121026456291899,Stand,0,1,-15.0
4.0,17,0,8,1,-14,-0.005121026456291899,Stand,0,0,-15.0
