Player,ValueOfHand,Ace,DealerValue,theCountRound,runningCount,trueCount,Action,BlackJackWin,Result,StartRunningCount
1.0,14,0,10,2,2,0.0007299526232672399,Hit,0,0,3.0
2.0,18,0,10,2,2,0.000729967993711045,Stand,0,2,3.0
3.0,4,1,10,2,2,0.000729967993711045,Hit,0,2,3.0
4.0,15,0,10,2,2,0.0007299731173361597,Hit,0,2,3.0
1.0,10,1,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
2.0,9,1,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
3.0,20,0,8,-5,-2,-0.000730034606448171,Stand,0,2,-3.0
4.0,17,0,8,-5,-2,-0.000730034606448171,Stand,0,0,-3.0
1.0,16,0,2,3,0,0.0,Stand,0,2,0.0
2.0,13,0,2,3,0,0.0,Stand,0,2,0.0
3.0,14,0,2,3,0,0.0,Stand,0,2,0.0
4.0,16,0,2,3,0,0.0,Stand,0,2,0.0
1.0,16,0,10,1,1,0.00036507368169787344,Hit,0,0,-1.0
2.0,18,0,10,1,1,0.00036507880787727735,Stand,0,0,-1.0
3.0,11,0,10,1,1,0.00036507880787727735,Double,0,0,-1.0
4.0,16,0,10,1,1,0.00036508137102096407,Hit,0,0,-1.0
1.0,18,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
2.0,17,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
3.0,20,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
4.0,20,0,5,-4,-5,-0.0018255478398854117,Stand,0,2,-7.0
1.0,20,0,10,-2,-9,-0.003286239923601944,Stand,0,1,-10.0
2.0,20,0,10,-2,-9,-0.003286239923601944,Stand,0,1,-10.0
3.0,19,0,10,-2,-9,-0.003286286075416052,Stand,0,0,-10.0
4.0,11,0,10,-2,-9,-0.003286286075416052,Double,0,0,-10.0
1.0,6,1,8,-1,-11,-0.004016882141026272,Hit,0,2,-11.0
2.0,16,0,8,0,-10,-0.0036517366816949674,Stand,0,0,-11.0
3.0,16,0,8,0,-10,-0.0036517366816949674,Stand,0,0,-11.0
4.0,18,0,8,0,-10,-0.0036517366816949674,Stand,0,1,-11.0
1.0,16,0,3,3,-8,-0.002921594516391831,Stand,0,0,-8.0
2.0,15,0,3,3,-8,-0.002921635554057281,Stand,0,0,-8.0
2.1,17,0,3,3,-8,-0.002921676592875604,Stand,0,1,-8.0
3.0,16,0,3,3,-8,-0.002921676592875604,Stand,0,0,-8.0
4.0,16,0,3,3,-8,-0.002921676592875604,Stand,0,0,-8.0
1.0,18,0,10,0,-8,-0.002921922849998595,Stand,0,2,-7.0
2.0,18,0,10,1,-7,-0.0025567004516369204,Stand,0,2,-7.0
3.0,19,0,10,1,-7,-0.002556718409777341,Stand,0,2,-7.0
4.0,17,0,10,1,-7,-0.002556718409777341,Stand,0,2,-7.0
1.0,10,0,5,2,-5,-0.0018263685471238207,Double,0,0,-5.0
2.0,6,1,5,3,-4,-0.0014611051012236756,Double,0,0,-5.0
3.0,20,0,5,3,-4,-0.0014611153648924886,Stand,0,2,-5.0
4.0,10,0,5,3,-4,-0.0014611153648924886,Double,0,2,-5.0
1.0,12,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
2.0,13,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
3.0,14,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
4.0,15,0,6,1,-4,-0.001461238540166497,Stand,0,0,-5.0
1.0,15,0,10,1,-4,-0.0014613412020936523,Hit,0,0,-6.0
2.0,17,0,10,0,-5,-0.0018266893363497127,Stand,0,2,-6.0
3.0,13,0,10,0,-5,-0.0018266893363497127,Hit,0,0,-6.0
4.0,18,0,10,-1,-6,-0.002192058005227215,Stand,0,2,-6.0
1.0,14,0,10,-1,-7,-0.0025575986678002542,Hit,0,0,-9.0
2.0,14,1,10,-3,-9,-0.003288387355166914,Stand,0,0,-9.0
3.0,19,0,10,-3,-9,-0.003288387355166914,Stand,0,0,-9.0
4.0,11,0,10,-3,-9,-0.003288387355166914,Double,0,0,-9.0
1.0,19,0,3,5,-4,-0.001461618461365489,Stand,0,0,-3.0
2.0,18,0,3,4,-5,-0.0018270359153098581,Stand,0,0,-3.0
3.0,10,0,3,4,-5,-0.0018270359153098581,Double,0,0,-3.0
4.0,10,0,3,5,-4,-0.0014616390032746334,Double,0,1,-3.0
1.0,21,1,10,-2,-5,-0.0018272156746993878,Stand,1,2,-6.0
2.0,10,1,10,-2,-5,-0.0018272156746993878,Stand,0,2,-6.0
3.0,17,0,10,-1,-4,-0.0014617828128074663,Stand,0,1,-6.0
4.0,17,1,10,-3,-6,-0.0021927050390048494,Stand,0,1,-6.0
1.0,20,0,10,-2,-8,-0.0029238122012932247,Stand,0,0,-9.0
2.0,13,0,10,-2,-8,-0.0029238122012932247,Hit,0,0,-9.0
3.0,18,0,10,-2,-8,-0.002923853301283403,Stand,0,0,-9.0
4.0,17,1,10,-2,-8,-0.0029238944024290816,Stand,0,0,-9.0
1.0,20,0,11,-2,-11,-0.004020637397551066,Stand,0,2,-14.0
2.0,12,0,11,-2,-11,-0.004020637397551066,Hit,0,0,-14.0
3.0,9,1,11,-4,-13,-0.004751729179553506,Stand,0,2,-14.0
4.0,12,0,11,-4,-13,-0.004751729179553506,Hit,0,2,-14.0
1.0,15,0,10,0,-14,-0.005117714462464236,Hit,0,0,-15.0
2.0,16,0,10,0,-14,-0.005117786416776216,Hit,0,2,-15.0
3.0,11,0,10,1,-13,-0.004752263652213037,Double,0,2,-15.0
4.0,17,0,10,0,-14,-0.005117858373111559,Stand,0,0,-15.0
1.0,18,0,10,-5,-20,-0.007311740264488144,Stand,0,0,-21.0
2.0,21,1,10,-5,-20,-0.007311740264488144,Stand,1,2,-21.0
3.0,16,0,10,-4,-19,-0.006946202086672853,Hit,0,0,-21.0
4.0,20,0,10,-5,-20,-0.007311843076598587,Stand,0,1,-21.0
1.0,13,0,2,4,-17,-0.006215503603445245,Stand,0,0,-15.0
2.0,15,0,2,4,-17,-0.006215503603445245,Stand,0,0,-15.0
3.0,14,0,2,5,-16,-0.0058499268759140514,Stand,0,0,-15.0
4.0,13,0,2,6,-15,-0.00548434500748824,Stand,0,0,-15.0
1.0,15,0,10,1,-14,-0.005119117936601693,Hit,0,0,-13.0
2.0,11,0,10,1,-14,-0.005119189930384642,Double,0,0,-13.0
3.0,12,1,10,2,-13,-0.004753600360036003,Stand,0,0,-13.0
4.0,15,0,10,2,-13,-0.004753600360036003,Hit,0,0,-13.0
1.0,21,1,8,-1,-14,-0.005119693943570846,Stand,1,2,-15.0
2.0,17,1,8,-3,-16,-0.005851161089778753,Stand,0,2,-15.0
3.0,12,0,8,-3,-16,-0.005851161089778753,Hit,0,0,-15.0
4.0,9,1,8,-3,-16,-0.005851243389220209,Stand,0,2,-15.0
1.0,20,0,3,0,-15,-0.005486003657335772,Stand,0,0,-16.0
2.0,14,0,3,0,-15,-0.005486003657335772,Stand,0,0,-16.0
3.0,13,0,3,0,-15,-0.005486003657335772,Stand,0,0,-16.0
4.0,14,0,3,0,-15,-0.005486003657335772,Stand,0,0,-16.0
1.0,17,0,7,1,-15,-0.00548642812427463,Stand,0,2,-14.0
2.0,16,0,7,1,-15,-0.005486466715435259,Hit,0,0,-14.0
3.0,9,1,7,2,-14,-0.005120774306092877,Stand,0,2,-14.0
4.0,15,0,7,2,-14,-0.005120774306092877,Hit,0,0,-14.0
